MJD "Average Flux ($\mu Jy$)" "err ($\mu Jy$)" "7 GHz Flux ($\mu Jy$)" "7 GHz err ($\mu Jy$)" "5 GHz Flux ($\mu Jy$)" "5 GHz err ($\mu Jy$)"
57437.4104023 66.1836653484 4.34927084772 58.3197812918 6.10695503391 81.1769377423 7.04843393777
57452.3317626 82.3917127927 4.402548035 70.9513130325 6.41190509406 97.458792663 7.66188486318
57465.3405656 83.2611063614 4.33521865482 68.7739020297 7.45458218447 108.535462839 8.3429138214
57481.2741353 80.3634111155 4.43936514899 69.5504695474 6.02225625578 100.440018819 7.2255837109
57493.266548 72.3802529425 4.35633720951 60.1079818827 9.56927341703 100.358039602 7.14340943169
57507.262882 68.1776221258 4.43796905923 60.2108844092 5.89090005222 79.9817017053 6.91094504711
57523.1631606 79.0951974033 4.56582785399 55.5733619911 6.5173022688 101.727352085 7.54781937009
57536.1490553 64.1062652945 4.24949853033 52.2395381915 5.680823355 80.5098847916 6.74918390266
57550.1496823 72.8130724808 4.58547935076 58.7369420339 6.22332928121 86.6574874153 6.8933608505
57566.1164295 60.8331989881 5.73531091994 52.1561633951 7.39516251424 70.6047919112 9.00292138093
57577.0545057 64.8070222288 5.34496905295 54.7071801689 7.54010839948 75.6265111939 7.97842680604
57605.9164214 49.7516944488 5.17025840978 36.2102623814 6.76321399445 67.7594439482 7.82385959978
57619.9774628 62.1910507394 4.84098840541 52.7327449402 6.5323685253 71.5733830557 7.53897390413
57635.8761792 57.0469076105 4.61379805485 54.319183514 6.19203316739 58.2866861908 7.10039867606
57648.9237266 42.3766794169 5.26230409394 37.9660173978 7.01849044209 52.1083235273 8.51600669092
57664.8500947 36.9259879546 5.49770571585 19.7251522596 7.20481252407 59.5314751855 8.32903687683
57683.8094561 46.6988147619 4.58159250757 36.6814406319 7.56910149685 57.3612483637 8.78195513397
57704.7832676 50.8713675889 4.32457476188 35.9584199085 7.83037505084 68.3904720497 8.94202625418
57772.5358477 56.2653550933 4.46437380473 44.435483126 8.07800662274 62.9192532464 8.71941620996
57831.3829323 87.4101328521 5.22106747065 72.5975058728 7.13872198883 104.779161576 7.54792944503
58150.5382501 68.6005766955 4.62772180092 53.6199689273 6.16580864996 87.5176602237 6.88781594438
